No.,Latin name (previous version),name change,Genus,species,Genus_species,notes about information,Common Name,Nest shape,Location/Position,Nest Size,Exposure,jpd exposure,jmai exposure,old exposure,nathanvs. old,nathanv.jpd,jpdvs.old,icterus all three,Dichromatic,Total Delta S (Price & Eaton 2014),Egg Incubation,Brooding,Feeding,Sexual Behavior,Misc.,Citations
1,Psarocolius oseryi,clypicterus,Clypicterus,oseryi,Clypicterus_oseryi,"From Jaramillo, ""wide and short."" However, also says ""reminiscent of Red-rumped cacique."" Which is 38 cm, which is plenty long, thus no exposure. ",Casqued Oropendola ,"""short"" pensile basket",Hanging basket (shorter and wider); forest trees,,0,0,,0,,,,,0,,,,,Males- one female,"colonial, for defense","New World Blackbirds: Koepcke 1972 (behavior, nesting), Leak and Robinson 1989 (habitat, behavior, nesting, sexual dimorphism)"
2,Psarocolius decumanus,,Psarocolius,decumanus,Psarocolius_decumanus,,Crested Oropendola ,long pensile basket,Hanging basket (long); trees 25-30m,"125 cm long, opening at top",0,0,,0,,,,,0,,Female,Female,,Highly polygynous,colonial,"New World Blackbirds: Belcher and Smooker 1937 (nesting), Drury 1962 (voice, behavior, nesting), Tashian 1957 (behavior, nesting)"
3,Psarocolius viridis,,Psarocolius,viridis,Psarocolius_viridis,,Green Oropendola ,long pensile basket,Hanging basket (long); midstory of forests,,0,0,,0,,,,,0,,Female,Female,Female,Polygynous,colonial,"New World Blackbirds: Crandall 1937 (behavior), Haverschmidt 1972 (nesting), Oniki and Willis 1983 (nesting)"
4,Psarocolius atrovirens,,Psarocolius,atrovirens,Psarocolius_atrovirens,,Dusky-green Oropendola ,long pensile basket,"Hanging basket (long); trees, cliffs",,0,0,,0,,,,,0,,,,,Polygynous,"colonial, male always remain in attendance","New World Blackbirds: Fjeldsa and Krabbe 1990 (habitat, nesting)"
5,Psarocolius angustifrons,,Psarocolius,angustifrons,Psarocolius_angustifrons,,Russet-backed Oropendola ,long pensile basket,Hanging basket (long); clearings and forest edges,76-40cm long,0,0,,0,,,,,0,,Female,,,,colonial,"New World Blackbirds: Drury 1962 (behvaior, nesting), Robinso 1985 (nesting)"
6,Psarocolius alfredi,lumped with angustifrons,Psarocolius,alfredi,Psarocolius_alfredi,lumped with angustifrons,,long pensile basket,Hanging basket (long); 5-8 m above ground,76-146cm long,0,0,,0,,,,,0,,Female,Female,Female,Polygynous,colonial,"New World Blackbirds: Schafer 1953 (nesting, behavior), Sclater and Salvin 1879 (nesting)"
7,Psarocolius wagleri,,Psarocolius,wagleri,Psarocolius_wagleri,,Chestnut-headed Oropendola ,long pensile basket,"Hanging basket (long); wet tropical rainforest, trees, buildings, etc.",0.6-1m long,0,0,,0,,,,,0,,Female,Female,Female,Polygynous,"colonial (30-40), sometimes near wasps","New World Blackbirds: Chapman 1931b (behavior, nesting), Fleischer and Smith 1992 (nesting), Smith 1983 (behavior, nesting)"
8,Psarocolius montezuma,,Psarocolius,montezuma,Psarocolius_montezuma,,Montezuma Oropendola ,long pensile basket,Hanging basket (long),120cm long,0,0,,0,,,,,0,,Female,Female,Female,Polygynous,colonial; sexual dimorphism (males larger) seems to be a result of male-male competition,"New World Blackbirds: Fraga 1989 (nesting), Howell 1964 (behavior), Skutch 1954 (behavior, nesting), Webster 1994a 1994b 1994c 1995 (behavior, nesting, mating system)"
9,Psarocolius cassini,,Psarocolius,cassini,Psarocolius_cassini,NA,Baudo Oropendola ,NA,,,NA,NA,,NA,,,,,0,,,,,,Not Enough Information,
10,Psarocolius yuracares,lumped with bifasciatus,Psarocolius,yuracares,Psarocolius_yuracares,lumped with bifasciatus,Amazonian Oropendola ,long pensile basket,Hanging basket (long); trees,,0,0,,0,,,,,0,,Female,Female,,Polygynous,colonial,"New World Blackbirds: Rodriguez-Ferraro Unpublished Manuscript (behavior, nesting), Sick1993 (behavior)"
11,Psarocolius bifasciatus,,Psarocolius,bifasciatus,Psarocolius_bifasciatus,NA; if nothing else use yuracares category since subspecies,Para Oropendola ,NA,,,NA,NA,,NA,,,,,0,,,,,,Not Enough Information,
12,Psarocolius guatimozinus,,Psarocolius,guatimozinus,Psarocolius_guatimozinus,,Black Oropendola ,long pensile basket,Hanging Basket (long); trees,shorter (40ish cm),0,0,,0,,,,,0,,,,,,colonial,"New World Blackbirds: Hilty and Brown 1986 (nesting), Ridgely and Tudor (nesting), Sclater and Salvin 1879 (nesting)"
13,Ocyalus latirostris,,Ocyalus,latirostris,Ocyalus_latirostris,,Band-tailed Oropendola ,wide/short,Hanging Basket (wide/short); trees,shorter (40ish cm),0,0,,0,,,,,0,,Female,,,,Observed colonial as well as solitary,"New World Blackbirds: D. Lane and A. Kratter unpublished data (habitat, behavior, nesting), Koepcke 1972 (nesting)"
14,Cacicus cela,,Cacicus,cela,Cacicus_cela,,Yellow-rumped Cacique ,hanging basket (small),"Hanging Basket (shorter); trees, near wasps",43 cm long,0,0,,0,,,,,0,,Female,Female,Female,Polygynous,colonial; near wasps,"New World Blackbirds: Belcher and Smooker 1937 (nesting), Feeks 1981 (behavior, nesting), Robinson 1985a 1985b (nesting)"
15,Cacicus haemorrhous,,Cacicus,haemorrhous,Cacicus_haemorrhous,,Red-rumped Cacique ,hanging basket (small),"Hanging basket, opening on top",38 cm long,0,0,,0,,,,,0,,Female,Female,Female; occasional male,Polygynous,colonial,"New World Blackbirds: Feekes 1981 (behavior, nesting), Hilty and Brown 1986 (nesting), Oniki and Willis 1983 (nesting)"
16,Cacicus microrhynchus,,Cacicus,microrhynchus,Cacicus_microrhynchus,,Scarlet-rumped Cacique ,long pensile basket,Hanging basket (long); near wasps,60-70 cm long,0,0,,0,,,,,0,,    ,,Both,Monogamous in solitary nesters,colonial and solitary,"New World Blackbirds: Rodriguez 1982 (nesting), Skutch 1972 (behavior, nesting),Wetmore et al. 1984 (behavior, nesting)"
17,Cacicus uropygialis,,Cacicus,uropygialis,Cacicus_uropygialis,NA- formerly lumped with Scarlet-rumped Cacique,Subtropical Cacique ,NA,,,NA,NA,,NA,,,,,0,,,,,,Not Enough Information,
18,Cacicus chrysopterus,,Cacicus,chrysopterus,Cacicus_chrysopterus,,Golden-winged Cacique ,long pensile basket,Hanging basket (long),60cm-100m,0,0,,0,,,,,0,,,,,monogamous,solitary,"New World Blackbirds: Belton 1985 (nesting), De La Pena 1987 (nesting), Tudor 1985 (nesting), Wetmore 1926 (nesting)"
19,Cacicus chrysonotus,,Cacicus,chrysonotus,Cacicus_chrysonotus,,Southern Mountain Cacique ,long pensile basket,Hanging basket (long); open lower canopy,more than 50cm long,0,0,,0,,,,,0,,,,,,"colonial, some solitary","New World Blackbirds: Fjeldsa and Krabbe 1990 (habitat, nesting), Hilty and Brown 1986 (behavior, nesting)"
20,Cacicus koepckeae,,Cacicus,koepckeae,Cacicus_koepckeae,NA- Gerhart 2004,Selva Cacique ,long pensile basket,,50-70cm,0,0,,0,,,,,0,,,,,,Not Enough Information,
21,Cacicus sclateri,,Cacicus,sclateri,Cacicus_sclateri,NA- New article 2001: Carlos A. Botero,Ecuadorian Cacique ,long pensile basket,,1 meter long,0,0,,0,,,,,0,,,,,,Not Enough Information,
22,Cacicus solitarius,,Cacicus,solitarius,Cacicus_solitarius,,Solitary Cacique,long pensile basket,"Hanging basket; less than 5m high, usually in shrubs or low trees",50 cm long,0,0,,0,,,,,0,,,,,Most likely monogamous becausen of solitary nests,solitary,"New World Blackbirds: De la Pena (1987), Naumburg 1930 (nesting), Wetmore 1926 (behavior)"
23,Cacicus melanicterus,,Cacicus,melanicterus,Cacicus_melanicterus,,Mexican Cacique,long pensile basket,Hanging basket (long); 10-20m above ground; trees,80cm long,0,0,,0,,,,,0,,,,,Polygynous,colonial and solitary,"New World Blackbirds: Dickerman 1960 (nesting), Howell and Webb 1995 (behavior and nesting), Rowley 1984 (nesting), Schaldach 1963 (nesting)"
24,Amblycercus holosericeus,,Amblycercus,holosericeus,Amblycercus_holosericeus,,Yellow-billed Cacique ,cup,"within 1 m of ground, often in shrubs, bushes, dense vegetation. Despite open cup, very difficult to see because of location in dense shrubs",,1,1,,1,,,,,0,,,,,,,"New World Blackbirds: Hilty and Brown 196 (nesting), Skutch 1954 (nesting, habitat, behavior), Stiles and Skutch 1989 (nesting)"
25,Nesopsar nigerrimus,,Nesopsar,nigerrimus,Nesopsar_nigerrimus,,Jamaican Blackbird ,cup,"9 m above ground, placed against trunk",,1,1,,1,,,,,0,35.5,Female,Female,Both,monogamous,Male vigilantly defends nest while female broods,"New World Blackbirds: Lack 1976 (behaviour), Wiley and Cruz 1980 (behavior, nesting)"
26,Gymnomystax mexicanus,,Gymnomystax,mexicanus,Gymnomystax_mexicanus,,Oriole Blackbird ,cup,"6-8 m above ground, usually in ""tangle or dense area of a tree or palm""",,1,1,,1,,,,,0,67.8,Female,,,monogamous,"Male stands by nest, puffs out chest/feathers to threats","New World Blackbirds: Goeldi 1897 (nesting), Skutch 1967 (behavior, nesting)"
27,Xanthocephalus xanthocephalus,,Xanthocephalus,xanthocephalus,Xanthocephalus_xanthocephalus,,Yellow-headed Blackbird ,open cup,"In cattails, reeds, etc. plants near water","""Outside diameter 13–14 cm; outside height 13–15 cm (maximum = 55 cm); inside diameter 6.5–7.5 cm; inside depth 6.4 cm""",1,1,,1,,,,,1,,Female,Female,Both,"Polygynous, no pair bond",Females posses less and duller yellow. ,"Twedt, Daniel J. and Richard D. Crawford. 1995. Yellow-headed Blackbird (Xanthocephalus xanthocephalus), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/192
doi:10.2173/bna.192"
28,Xanthopsar flavus,,Xanthopsar,flavus,Xanthopsar_flavus,,Saffron-cowled Blackbird ,deep cup,1 m within ground,,1,1,,1,,,,,1,199.5,Female,Female,,,colonial,"New World Blackbirds: Crawford 1977 (nesting), Twedt and Crawford 1995 (habitat, nesting, behavior)"
29,Agelaius xanthophthalmus,agelasticus ,Agelasticus,xanthophthalmus,Agelasticus_xanthophthalmus,NA- Orians 2000,Pale-eyed Blackbird ,cup,"lakeside, 1 m above water",,1,1,,1,,,,,0,95.3,,,,,Not Enough Information,
